4 , 23/10/2008 16:35:48:642 , RPAction , getPaymentDetails , Entering
4 , 23/10/2008 16:35:48:642 , RPAction , getPaymentDetails , Got paymentId
4 , 23/10/2008 16:35:48:642 , RPAction , getPaymentDetails , Before calling payment details
4 , 23/10/2008 16:35:48:642 , RpProcessor , getPaymentDetails , Before calling Instrument details
4 , 23/10/2008 16:35:48:688 , RpDAO , getInstrumentDetails , Done inside RpDAO
4 , 23/10/2008 16:35:48:704 , RpProcessor , getPaymentDetails , After calling Instrument details
4 , 23/10/2008 16:35:48:704 , RpProcessor , getPaymentDetails , Before calling get DAN details
4 , 23/10/2008 16:35:48:704 , RpDAO , getDANDetails , Entering getDANDetails
4 , 23/10/2008 16:35:48:704 , RpDAO , getDANDetails , Before preparing call
4 , 23/10/2008 16:35:48:704 , RpDAO , getDANDetails , Before registering parameters
4 , 23/10/2008 16:35:48:704 , RpDAO , getDANDetails , After registering parameters
4 , 23/10/2008 16:35:48:704 , RpDAO , getDANDetails , Before execute
4 , 23/10/2008 16:35:48:751 , RpDAO , getDANDetails , After execute
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Before running resultset
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting dan id
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting cgpan
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting amount raised
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting penalty
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting allocated
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting reason:null
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting appropriated
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting appropriated
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting Bank Id
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting Zone Id
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , Getting Branch Id
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , adding demand advice
4 , 23/10/2008 16:35:48:938 , RpDAO , getDANDetails , After adding demand advice
