4 , 06/11/2008 15:34:45:372 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:34:45:372 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:34:45:372 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200200610TC as on Mon Mar 31 15:34:45 IST 2008
4 , 06/11/2008 15:34:45:372 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:34:45:372 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:34:45:372 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:34:45:372 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:34:45:372 , RpDAO , getAmountOutstanding , CGPAN = CG200200610TC
4 , 06/11/2008 15:34:45:372 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:34:45:403 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:34:45:403 , RpDAO , getAmountOutstanding , Outstanding amount = 10000.0
4 , 06/11/2008 15:34:45:403 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:34:45:403 , RpDAO , calculateServiceFee , Amount Outstanding = 10000.0
4 , 06/11/2008 15:34:45:403 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:34:45:403 , RpDAO , calculateServiceFee , After getting approved amount:10000.0
4 , 06/11/2008 15:34:45:419 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:34:45:419 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:34:45:419 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:34:45:419 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:34:45:419 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:34:45:419 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:34:45:419 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:34:45:419 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:34:45:419 , RpDAO , getGuarStartDate , application.getCgpan() :CG200200610TC
4 , 06/11/2008 15:34:45:419 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:34:45:419 , RpDAO , calculateServiceFee , Days = 2130
