4 , 06/11/2008 15:54:49:216 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:54:49:216 , RpDAO , getAmountOutstanding , Outstanding amount = 10000.0
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateServiceFee , Amount Outstanding = 10000.0
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateServiceFee , After getting approved amount:10000.0
4 , 06/11/2008 15:54:49:231 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:54:49:231 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:54:49:231 , RpDAO , getServiceRateForRSF , Entered
4 , 06/11/2008 15:54:49:231 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:54:49:231 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:231 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:54:49:231 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:54:49:231 , RpDAO , getGuarStartDate , application.getCgpan() :CG200201685TC
4 , 06/11/2008 15:54:49:231 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateServiceFee , Days = 1759
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:54:49 IST 2007
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200201685TC
4 , 06/11/2008 15:54:49:231 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200303095TC
4 , 06/11/2008 15:54:49:231 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:54:49:247 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:54:49:247 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:54:49:247 , RpDAO , calculateServiceFee , application.getScheme() RSF
4 , 06/11/2008 15:54:49:247 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 15:54:49:247 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 15:54:49:247 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 15:54:49:247 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:247 , RpDAO , calculateServiceFee , CGPAN = CG200303095TC
4 , 06/11/2008 15:54:49:247 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , CGPAN = CG200303095TC
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , setting CGPAN = CG200303095TC
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 15:54:49:247 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:54:49:294 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:54:49:294 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:54:49:294 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200303095TC as on Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:294 , RpProcessor , isServiceFeeCalculated , Return value = false
