4 , 06/11/2008 16:04:00:622 , LoginAction , login , Entered
4 , 06/11/2008 16:04:00:981 , Login , login , Entered
4 , 06/11/2008 16:04:00:997 , AdminDAO , getParameter , Entered
4 , 06/11/2008 16:04:01:028 , AdminDAO , getParameter , Exited
4 , 06/11/2008 16:04:01:028 , AdminDAO , getUserInfo , Entered
4 , 06/11/2008 16:04:01:059 , AdminDAO , getUserInfo , Exited
4 , 06/11/2008 16:04:01:059 , AdminDAO , checkValidUserLogin() , Entered!
4 , 06/11/2008 16:04:01:059 , AdminDAO , checkValidUserLogin() , Exited!
4 , 06/11/2008 16:04:01:356 , CommonDAO , updateLastLoginDate , Entered
2 , 06/11/2008 16:04:01:372 , CommonDAO , updateLastLoginDate , Error code and errors are: 0 null
4 , 06/11/2008 16:04:01:372 , CommonDAO , updateLastLoginDate , Exited
4 , 06/11/2008 16:04:01:372 , Login , login , Exited
4 , 06/11/2008 16:04:01:372 , AdminDAO , getPrivileges , Entered
4 , 06/11/2008 16:04:01:419 , AdminDAO , getPrivileges , Exited
4 , 06/11/2008 16:04:01:419 , AdminDAO , getAlerts , Entered
4 , 06/11/2008 16:04:01:419 , AdminDAO , getAlerts , Exited
4 , 06/11/2008 16:04:01:419 , AdminDAO , getMessage , Entered
4 , 06/11/2008 16:04:01:434 , AdminDAO , getMessage , Exited
4 , 06/11/2008 16:04:01:434 , RegistrationDAO , getMemberDetails , Entered
4 , 06/11/2008 16:04:01:450 , RegistrationDAO , getMemberDetails , Exited
4 , 06/11/2008 16:04:01:450 , LoginAction , login , Exited
4 , 06/11/2008 16:04:02:466 , LoginAction , getMainMenu , Entered
4 , 06/11/2008 16:04:02:466 , LoginAction , setMainMenu , Entered
4 , 06/11/2008 16:04:02:466 , BaseAction , getUserInformation , Entered
4 , 06/11/2008 16:04:02:466 , BaseAction , getUserInformation , Exited
4 , 06/11/2008 16:04:02:466 , LoginAction , setMainMenu , Exited
4 , 06/11/2008 16:04:02:481 , LoginAction , getMainMenu , Exited
4 , 06/11/2008 16:04:05:637 , RPAction , generateCGDAN , Fetched Member Details for whom CGDAN has to be generated
4 , 06/11/2008 16:04:12:466 , RPAction , generateSFDAN , Entered
4 , 06/11/2008 16:04:12:466 , RPAction , generateSFDAN , Selected Member Id : (000500020000)UBI,AZAMGARH
4 , 06/11/2008 16:04:12:466 , BaseAction , getUserInformation , Entered
4 , 06/11/2008 16:04:12:466 , BaseAction , getUserInformation , Exited
4 , 06/11/2008 16:04:12:466 , RPAction , generateCGDAN , Logged in user: ADMIN
4 , 06/11/2008 16:04:12:481 , RpDAO , generateSFDAN , Entered
4 , 06/11/2008 16:04:12:512 , RpDAO , calculateAllServiceFee , Entering
4 , 06/11/2008 16:04:12:512 , ApplicationDAO , getLiveApplications , Entering
4 , 06/11/2008 16:04:12:512 , ApplicationDAO , getLiveApplications , Before executing Stored Procedure
4 , 06/11/2008 16:04:12:512 , ApplicationDAO , getLiveApplications , After executing Stored Procedure
4 , 06/11/2008 16:04:12:528 , ApplicationDAO , getLiveApplications , ResultSet = oracle.jdbc.driver.OracleResultSetImpl@b8
4 , 06/11/2008 16:04:12:528 , ApplicationDAO , getLiveApplications , Status = 0
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : CGPAN=CG200100680TC
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Bank Id=0005
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Zone Id=0002
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Branch Id=0000
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Guarantee Fee=500.0
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Approved Amount=20000.0
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : district=AZAMGARH
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : State=UTTAR PRADESH
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : SocialCategory =null
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : sex=F
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : CGPAN=CG200200597TC
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Bank Id=0005
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Zone Id=0002
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Branch Id=0000
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Guarantee Fee=1438.0
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : Approved Amount=57500.0
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : district=AZAMGARH
4 , 06/11/2008 16:04:12:544 , ApplicationDAO , getLiveApplications , Inside While : State=UTTAR PRADESH
