4 , 06/11/2008 16:04:32:544 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 16:04:32:544 , RpDAO , getGuarStartDate , application.getCgpan() :CG200303100TC
4 , 06/11/2008 16:04:32:544 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , Days = 1576
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , Service Fee Amount = 500.0
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 16:04:32 IST 2007
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200303100TC
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200100828TC
4 , 06/11/2008 16:04:32:544 , AdminDAO , getParameter , Entered
4 , 06/11/2008 16:04:32:544 , AdminDAO , getParameter , Exited
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , application.getScheme() CGFSI
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:544 , RpDAO , calculateServiceFee , CGPAN = CG200100828TC
4 , 06/11/2008 16:04:32:544 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , CGPAN = CG200100828TC
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , setting CGPAN = CG200100828TC
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 16:04:32:544 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:32:606 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:32:606 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 16:04:32:606 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200100828TC as on Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:606 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 16:04:32:606 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 16:04:32:606 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 16:04:32:606 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 16:04:32:606 , RpDAO , getAmountOutstanding , CGPAN = CG200100828TC
4 , 06/11/2008 16:04:32:606 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 16:04:32:637 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 16:04:32:637 , RpDAO , getAmountOutstanding , Outstanding amount = 50000.0
4 , 06/11/2008 16:04:32:637 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 16:04:32:637 , RpDAO , calculateServiceFee , Amount Outstanding = 50000.0
4 , 06/11/2008 16:04:32:637 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 16:04:32:637 , RpDAO , calculateServiceFee , After getting approved amount:50000.0
4 , 06/11/2008 16:04:32:637 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 16:04:32:637 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 16:04:32:637 , RpDAO , calculateServiceFee , Service Fee Amount = 250.0
4 , 06/11/2008 16:04:32:637 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 16:04:32:637 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 16:04:32:637 , RpDAO , getGuarStartDate , application.getCgpan() :CG200100828TC
4 , 06/11/2008 16:04:32:637 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 16:04:32:637 , RpDAO , calculateServiceFee , Days = 2502
