4 , 11/11/2008 18:16:56:968 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:56:968 , ApplicationDAO , getPartApplication , Exited. Memory : 11894136
4 , 11/11/2008 18:16:56:968 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:57:015 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:57:015 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:57:015 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:50000.0
4 , 11/11/2008 18:16:57:015 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:50000.0
4 , 11/11/2008 18:16:57:015 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:57:015 , ApplicationDAO , getPartApplication , Entered. Memory : 11494944
4 , 11/11/2008 18:16:57:047 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:57:047 , ApplicationDAO , getPartApplication , Exited. Memory : 9966240
4 , 11/11/2008 18:16:57:047 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:57:093 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:57:093 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:57:093 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:95000.0
4 , 11/11/2008 18:16:57:093 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:95000.0
4 , 11/11/2008 18:16:57:093 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:57:093 , ApplicationDAO , getPartApplication , Entered. Memory : 9556144
4 , 11/11/2008 18:16:57:125 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:57:125 , ApplicationDAO , getPartApplication , Exited. Memory : 8007456
4 , 11/11/2008 18:16:57:125 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:57:172 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:57:187 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:57:187 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:12000.0
4 , 11/11/2008 18:16:57:187 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:12000.0
