4 , 13/11/2008 16:40:48:239 , LoginAction , getMainMenu , Entered
4 , 13/11/2008 16:40:48:239 , LoginAction , setMainMenu , Entered
4 , 13/11/2008 16:40:48:239 , BaseAction , getUserInformation , Entered
4 , 13/11/2008 16:40:48:239 , BaseAction , getUserInformation , Exited
4 , 13/11/2008 16:40:48:239 , LoginAction , setMainMenu , Exited
4 , 13/11/2008 16:40:48:239 , LoginAction , getMainMenu , Exited
4 , 13/11/2008 16:40:51:432 , Validator , validateDisplayClaimApproval , Entered
4 , 13/11/2008 16:40:51:432 , Validator , validateDisplayClaimApproval() , *******************************
4 , 13/11/2008 16:40:51:432 , Validator , validateDisplayClaimApproval() , clmdtl :null
4 , 13/11/2008 16:40:51:432 , Validator , validateDisplayClaimApproval() , clmEligibleAmnt :0.0
4 , 13/11/2008 16:40:51:432 , Validator , validateDisplayClaimApproval() , payAmntNow :null
4 , 13/11/2008 16:40:51:432 , Validator , validateDisplayClaimApproval() , *******************************
4 , 13/11/2008 16:40:51:432 , Validator , validateDisplayClaimApproval , Exited
4 , 13/11/2008 16:40:51:432 , ClaimAction , displayClaimApproval() , Entered
4 , 13/11/2008 16:40:51:432 , ClaimAction , displayClaimApproval() , *******************************
4 , 13/11/2008 16:40:51:432 , ClaimAction , displayClaimApproval() , flagClmRefDtl :N
4 , 13/11/2008 16:40:51:432 , ClaimAction , displayClaimApproval() , *******************************
4 , 13/11/2008 16:40:51:432 , AdminDAO , getUsers , Entered
4 , 13/11/2008 16:40:51:448 , AdminDAO , getUsers , Exited
4 , 13/11/2008 16:40:51:448 , BaseAction , getUserInformation , Entered
4 , 13/11/2008 16:40:51:448 , BaseAction , getUserInformation , Exited
4 , 13/11/2008 16:40:51:448 , BaseAction , getUserInformation , Entered
4 , 13/11/2008 16:40:51:448 , BaseAction , getUserInformation , Exited
4 , 13/11/2008 16:40:51:448 , ClaimAction , displayClaimApproval() , designation :ADMINISTRATOR
4 , 13/11/2008 16:40:51:448 , CPDAO , getClaimLimitDtls , Entered
4 , 13/11/2008 16:40:51:448 , CPDAO , getClaimLimitDtls , Printing the HashMap :{Max Claim Approved Amount=0.0, Claim Valid From Date=null, Claim Valid To Date=null}
4 , 13/11/2008 16:40:51:448 , CPDAO , getClaimLimitDtls , Exited
4 , 13/11/2008 16:40:51:448 , ClaimAction , displayClaimApproval() , maxClmApprvdAmnt :0.0
4 , 13/11/2008 16:40:51:448 , ClaimsProcessor , getClaimProcessingDetails() , Entered
4 , 13/11/2008 16:40:51:448 , CPDAO , getClaimProcessingDetails() , Entered!
4 , 13/11/2008 16:40:51:494 , CPDAO , getClaimProcessingDetails() , Exited!
4 , 13/11/2008 16:40:51:494 , AdminDAO , getParameter , Entered
4 , 13/11/2008 16:40:51:494 , AdminDAO , getParameter , Exited
4 , 13/11/2008 16:40:51:494 , ClaimsProcessor , getClaimProcessingDetails() , clmProcessingDtls.size() :4
4 , 13/11/2008 16:40:51:494 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 13/11/2008 16:40:51:525 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 13/11/2008 16:40:51:525 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05MP010007901Oustanding Amount :33600.0
4 , 13/11/2008 16:40:51:525 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05MP010007901Approved Application Amount :42750.0
4 , 13/11/2008 16:40:51:525 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05MP010007901Claim Applied Amount :25200.0
4 , 13/11/2008 16:40:51:525 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05MP010007901Recovered Amount :0.0
4 , 13/11/2008 16:40:51:525 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05MP010007901Default Amount :33600.0
4 , 13/11/2008 16:40:51:525 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 13/11/2008 16:40:51:525 , CPDAO , isRecoveryDetailsAvailable() , Entered!
