2 , 24/11/2008 15:03:08:224 , CPDAO , getAppRefNumber() , Entered
2 , 24/11/2008 15:03:08:224 , CPDAO , getAppRefNumber() , Exited
4 , 24/11/2008 15:03:08:240 , CPDAO , getAllClaimsFiled() , Entered!
4 , 24/11/2008 15:03:08:256 , CPDAO , getAllClaimsFiled() , Exited!
4 , 24/11/2008 15:03:08:256 , CPDAO , getDisbursementDetails , Entered
4 , 24/11/2008 15:03:08:537 , CPDAO , get disbursementDetails , Exited
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbursementDetails Dtls :1
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , Size of disbDtls Dtls :1
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , Size of Nested Dtls :2
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , cgpan :CG200614877TC
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , presentDsbrsmntDt :Thu Sep 14 00:00:00 IST 2006
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , allcgpandetails size :2
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , cgpan :CG200614877TC
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , presentDsbrsmntDt :Thu Sep 14 00:00:00 IST 2006
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , allcgpandetails size :2
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, LASTDSBRSMNTDT=Thu Sep 14 00:00:00 IST 2006, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:03:08:537 , CPDAO , getCGPANDetailsForBorrowerId() , priting hasmap in allcgpandetails vector :{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:03:08:537 , CPDAO , get Repayment Details , Entered
4 , 24/11/2008 15:03:08:600 , CPDAO , get Repayment Details , Exited
4 , 24/11/2008 15:03:08:600 , CPDAO , get Repayment Details , Entered
4 , 24/11/2008 15:03:08:600 , CPDAO , get Repayment Details , Exited
4 , 24/11/2008 15:03:08:600 , CPDAO , getCGPANDetailsForBorrowerId() , Exited!
4 , 24/11/2008 15:03:08:600 , CPDAO , getCGPANDetailsForBorrowerId() , ------> Printing the hashmap from CPDAO:{ApprovedAmount=40000.0, APPLICATION_STATUS=AP, LASTDSBRSMNTDT=Thu Sep 14 00:00:00 IST 2006, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=TC, CGPAN=CG200614877TC}
4 , 24/11/2008 15:03:08:600 , CPDAO , getCGPANDetailsForBorrowerId() , ------> Printing the hashmap from CPDAO:{ApprovedAmount=150000.0, APPLICATION_STATUS=AP, EnhancedApprovedAmount=0.0, GUARANTEESTARTDT=2006-11-06, LoanType=WC, CGPAN=CG200614877WC}
4 , 24/11/2008 15:03:08:600 , ReportsDAO , getClaimAttachments , Entered
4 , 24/11/2008 15:03:09:069 , ReportsDAO , getClaimAttachments , Exited
4 , 24/11/2008 15:39:21:672 , ReportsAction , displayClmRefNumberDtl , Entered
4 , 24/11/2008 15:39:21:688 , ReportsAction , displayListOfClaimRefNumbers , Claim Application Status being queried :null
4 , 24/11/2008 15:39:21:688 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:41:10:524 , LoginAction , login , Entered
4 , 24/11/2008 15:41:10:883 , Login , login , Entered
4 , 24/11/2008 15:41:10:930 , AdminDAO , getParameter , Entered
4 , 24/11/2008 15:41:10:977 , AdminDAO , getParameter , Exited
4 , 24/11/2008 15:41:10:977 , AdminDAO , getUserInfo , Entered
4 , 24/11/2008 15:41:11:008 , AdminDAO , getUserInfo , Exited
4 , 24/11/2008 15:41:11:008 , AdminDAO , checkValidUserLogin() , Entered!
4 , 24/11/2008 15:41:11:008 , AdminDAO , checkValidUserLogin() , Exited!
4 , 24/11/2008 15:41:11:462 , CommonDAO , updateLastLoginDate , Entered
2 , 24/11/2008 15:41:11:477 , CommonDAO , updateLastLoginDate , Error code and errors are: 0 null
4 , 24/11/2008 15:41:11:477 , CommonDAO , updateLastLoginDate , Exited
4 , 24/11/2008 15:41:11:477 , Login , login , Exited
4 , 24/11/2008 15:41:11:477 , AdminDAO , getPrivileges , Entered
4 , 24/11/2008 15:41:11:524 , AdminDAO , getPrivileges , Exited
4 , 24/11/2008 15:41:11:524 , AdminDAO , getAlerts , Entered
4 , 24/11/2008 15:41:11:524 , AdminDAO , getAlerts , Exited
4 , 24/11/2008 15:41:11:524 , AdminDAO , getMessage , Entered
4 , 24/11/2008 15:41:11:571 , AdminDAO , getMessage , Exited
4 , 24/11/2008 15:41:11:571 , RegistrationDAO , getMemberDetails , Entered
4 , 24/11/2008 15:41:11:587 , RegistrationDAO , getMemberDetails , Exited
4 , 24/11/2008 15:41:11:587 , LoginAction , login , Exited
4 , 24/11/2008 15:41:13:368 , LoginAction , getMainMenu , Entered
4 , 24/11/2008 15:41:13:368 , LoginAction , setMainMenu , Entered
4 , 24/11/2008 15:41:13:368 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:41:13:368 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:41:13:368 , LoginAction , setMainMenu , Exited
4 , 24/11/2008 15:41:13:384 , LoginAction , getMainMenu , Exited
4 , 24/11/2008 15:41:16:557 , LoginAction , getSubMenu , Entered
4 , 24/11/2008 15:41:16:557 , LoginAction , setSubMenu , Entered
4 , 24/11/2008 15:41:16:557 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:41:16:557 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:41:16:557 , LoginAction , setSubMenu , Exited
4 , 24/11/2008 15:41:16:573 , LoginAction , getSubMenu , Exited
4 , 24/11/2008 15:41:21:934 , ReportsAction , displayListOfClaimRefNumbers , Entered
4 , 24/11/2008 15:41:21:934 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:41:21:934 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:41:21:934 , ReportDAO , getListOfClaimRefNumbers() , Entered
4 , 24/11/2008 15:41:21:934 , ReportDAO , getListOfClaimRefNumbers() , From Date :2000-10-25
4 , 24/11/2008 15:41:21:934 , ReportDAO , getListOfClaimRefNumbers() , To Date :2008-11-24
4 , 24/11/2008 15:41:21:934 , ReportDAO , getListOfClaimRefNumbers() , clmApplicationStatusFlag :NE
4 , 24/11/2008 15:41:21:934 , ReportDAO , getListOfClaimRefNumbers() , From Date is NULL, Status is Pending or Forward or Hold
4 , 24/11/2008 15:41:22:434 , ReportsAction , displayListOfClaimRefNumbers , Exited
4 , 24/11/2008 15:41:23:982 , ReportsAction , displayClmRefNumberDtl , Entered
4 , 24/11/2008 15:41:23:982 , ReportsAction , displayListOfClaimRefNumbers , Claim Application Status being queried :NE
4 , 24/11/2008 15:41:23:982 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:41:23:982 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:41:24:029 , CPDAO , getMemberInfoDetails() , Entered!
4 , 24/11/2008 15:41:24:060 , CPDAO , getMemberInfoDetails() , Exited!
4 , 24/11/2008 15:41:24:060 , CPDAO , getBorrowerDetails() , Entered!
4 , 24/11/2008 15:41:24:232 , CPDAO , getBorrowerDetails() , Exited!
4 , 24/11/2008 15:41:24:232 , CPDAO , isNPADetailsAvailable() , Entered!
4 , 24/11/2008 15:41:24:232 , CPDAO , isNPADetailsAvailable() , Borrower Id :TN0602358
4 , 24/11/2008 15:41:24:341 , CPDAO , isNPADetailsAvailable() , Exited!
4 , 24/11/2008 15:41:24:341 , CPDAO , isLegalProceedingsDetailAvl() , Entered!
4 , 24/11/2008 15:41:24:388 , CPDAO , isLegalProceedingsDetailAvl() , Exited!
4 , 24/11/2008 15:41:24:497 , BaseAction , getUserInformation , Entered
4 , 24/11/2008 15:41:24:497 , BaseAction , getUserInformation , Exited
4 , 24/11/2008 15:41:24:497 , CPDAO , getCGPANDetailsForBorrowerId() , Entered!
2 , 24/11/2008 15:41:25:029 , CPDAO , getAppRefNumber() , Entered
2 , 24/11/2008 15:41:25:029 , CPDAO , getAppRefNumber() , Exited
2 , 24/11/2008 15:41:25:076 , CPDAO , getAppRefNumber() , Entered
