4 , 04/04/2012 06:23:44:225 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:225 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:226 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:231 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:232 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:233 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:234 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:235 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:235 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:236 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:237 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:238 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:239 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:244 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:245 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:246 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:246 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:247 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:248 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:249 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:250 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:251 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:252 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:257 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:258 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:259 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:260 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:261 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:262 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:263 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:264 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:265 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:266 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:268 , ApplicationDAO , checkDuplicate , Just Before 
4 , 04/04/2012 06:23:44:270 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:271 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:272 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:273 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:274 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:275 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:276 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:277 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:278 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:279 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:280 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:281 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:282 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:283 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:284 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:285 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:286 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:287 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
4 , 04/04/2012 06:23:44:288 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:289 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:295 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:296 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:297 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:298 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:299 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:300 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:301 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:302 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@17a8b43
4 , 04/04/2012 06:23:44:303 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@1e06dfc
