5 , 13/04/2012 10:16:11:252 , RPAction , getPaymentsForReallocation , actionForm com.cgtsi.actionform.RPActionForm@1b124d2
4 , 13/04/2012 10:16:11:260 , RPAction , getPaymentsForReallocation , Exited
4 , 16/04/2012 04:39:55:482 , LoginAction , login , Entered
4 , 16/04/2012 04:39:55:598 , Registration , updateLoginInformation , Entered
4 , 16/04/2012 04:39:55:706 , Registration , updateLoginInformation , Exited
4 , 16/04/2012 04:39:55:787 , Login , login , Entered
5 , 16/04/2012 04:39:55:790 , Login , login , User id is PRAKUMA0001
4 , 16/04/2012 04:39:55:809 , AdminDAO , getParameter , Entered
5 , 16/04/2012 04:39:55:848 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 16/04/2012 04:39:55:881 , AdminDAO , getParameter , Exited
5 , 16/04/2012 04:39:55:884 , Login , login , Before getting user info
4 , 16/04/2012 04:39:55:889 , AdminDAO , getUserInfo , Entered
5 , 16/04/2012 04:39:55:916 , AdminDAO , getUserInfo , Function executed without error
5 , 16/04/2012 04:39:55:926 , AdminDAO , getUserInfo , InActive user
5 , 16/04/2012 04:39:55:928 , AdminDAO , getUserInfo , first log in
4 , 16/04/2012 04:39:55:939 , AdminDAO , getUserInfo , Exited
5 , 16/04/2012 04:39:55:941 , Login , login , After getting user info
4 , 16/04/2012 04:39:55:944 , AdminDAO , checkValidUserLogin() , Entered!
4 , 16/04/2012 04:39:55:968 , AdminDAO , checkValidUserLogin() , Exited!
5 , 16/04/2012 04:39:55:970 , Login , login , Verify password PRAKUMA0001
3 , 16/04/2012 04:39:55:971 , Login , login , User is inactive 
4 , 16/04/2012 04:41:24:347 , LoginAction , login , Entered
4 , 16/04/2012 04:41:24:355 , Registration , updateLoginInformation , Entered
4 , 16/04/2012 04:41:24:501 , Registration , updateLoginInformation , Exited
4 , 16/04/2012 04:41:24:545 , Login , login , Entered
5 , 16/04/2012 04:41:24:548 , Login , login , User id is PRAKUMA0001
4 , 16/04/2012 04:41:24:552 , AdminDAO , getParameter , Entered
5 , 16/04/2012 04:41:24:582 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 16/04/2012 04:41:24:605 , AdminDAO , getParameter , Exited
5 , 16/04/2012 04:41:24:608 , Login , login , Before getting user info
4 , 16/04/2012 04:41:24:612 , AdminDAO , getUserInfo , Entered
5 , 16/04/2012 04:41:24:685 , AdminDAO , getUserInfo , Function executed without error
5 , 16/04/2012 04:41:24:689 , AdminDAO , getUserInfo , Active user
5 , 16/04/2012 04:41:24:692 , AdminDAO , getUserInfo , not first log in
4 , 16/04/2012 04:41:24:701 , AdminDAO , getUserInfo , Exited
5 , 16/04/2012 04:41:24:704 , Login , login , After getting user info
4 , 16/04/2012 04:41:24:706 , AdminDAO , checkValidUserLogin() , Entered!
4 , 16/04/2012 04:41:24:725 , AdminDAO , checkValidUserLogin() , Exited!
5 , 16/04/2012 04:41:24:728 , Login , login , Verify password PRAKUMA0001
5 , 16/04/2012 04:41:24:988 , Login , login , firstLogin,passwordReset false false
5 , 16/04/2012 04:41:24:991 , Login , login , last pwd change date, pwd expiry days2012-04-12 15
5 , 16/04/2012 04:41:24:994 , Login , login , addedDate Fri Apr 27 00:00:00 GMT 2012
5 , 16/04/2012 04:41:24:996 , Login , login , pwdChangeExpiry false
4 , 16/04/2012 04:41:24:999 , CommonDAO , updateLastLoginDate , Entered
2 , 16/04/2012 04:41:25:051 , CommonDAO , updateLastLoginDate , Error code and errors are: 0 null
4 , 16/04/2012 04:41:25:055 , CommonDAO , updateLastLoginDate , Exited
4 , 16/04/2012 04:41:25:058 , Login , login , Exited
4 , 16/04/2012 04:41:25:061 , AdminDAO , getPrivileges , Entered
5 , 16/04/2012 04:41:25:095 , AdminDAO , getRoles , privilege REPORTS
5 , 16/04/2012 04:41:25:098 , AdminDAO , getRoles , privilege EXPORT_PERIDIC_INFO
5 , 16/04/2012 04:41:25:100 , AdminDAO , getRoles , privilege EXPORT_CLAIM_FILE
5 , 16/04/2012 04:41:25:103 , AdminDAO , getRoles , privilege FILE_UPLOAD
5 , 16/04/2012 04:41:25:106 , AdminDAO , getRoles , privilege ADD_APPLICATION
5 , 16/04/2012 04:41:25:109 , AdminDAO , getRoles , privilege OTS_REQUEST
5 , 16/04/2012 04:41:25:112 , AdminDAO , getRoles , privilege ALLOCATE_PAYMENTS
5 , 16/04/2012 04:41:25:114 , AdminDAO , getRoles , privilege CLAIM_FIRST_INSTALLMENT
5 , 16/04/2012 04:41:25:117 , AdminDAO , getRoles , privilege UPDATE_REPAYMENT_SCHEDULE
5 , 16/04/2012 04:41:25:120 , AdminDAO , getRoles , privilege PERIODIC_INFO
5 , 16/04/2012 04:41:25:125 , AdminDAO , getRoles , privilege MODIFY_BORROWER_DETAILS
5 , 16/04/2012 04:41:25:128 , AdminDAO , getRoles , privilege CLAIM_SECOND_INSTALLMENT
5 , 16/04/2012 04:41:25:131 , AdminDAO , getRoles , privilege MODIFY_APPLICATION
5 , 16/04/2012 04:41:25:134 , AdminDAO , getRoles , privilege PRINT_PAY_IN_SLIP
5 , 16/04/2012 04:41:25:137 , AdminDAO , getRoles , privilege GENERATE_VOUCHER
5 , 16/04/2012 04:41:25:139 , AdminDAO , getRoles , privilege GENERATE_SFDAN
5 , 16/04/2012 04:41:25:140 , AdminDAO , getRoles , privilege CREATE_CGTSI_USER
5 , 16/04/2012 04:41:25:141 , AdminDAO , getRoles , privilege ENTER_INFLOW_DETAILS
5 , 16/04/2012 04:41:25:142 , AdminDAO , getRoles , privilege IF_REPORT
5 , 16/04/2012 04:41:25:143 , AdminDAO , getRoles , privilege STATEMENT_DETAILS
5 , 16/04/2012 04:41:25:146 , AdminDAO , getRoles , privilege SECURITIZATION
5 , 16/04/2012 04:41:25:148 , AdminDAO , getRoles , privilege ENTER_OUTFLOW_DETAILS
5 , 16/04/2012 04:41:25:149 , AdminDAO , getRoles , privilege LIMIT_SET_UP
5 , 16/04/2012 04:41:25:150 , AdminDAO , getRoles , privilege APPLICATION_CLOSURE
5 , 16/04/2012 04:41:25:151 , AdminDAO , getRoles , privilege ADD_MODIFY_ROLES
5 , 16/04/2012 04:41:25:152 , AdminDAO , getRoles , privilege APPROPRIATE_PAYMENTS
5 , 16/04/2012 04:41:25:153 , AdminDAO , getRoles , privilege SEARCH_DOCUMENTS
5 , 16/04/2012 04:41:25:156 , AdminDAO , getRoles , privilege ASSIGN_MODIFY_ROLES_AND_PRIVILEGES
