5 , 09/05/2012 10:44:08:170 , RPAction , getPaymentsForReallocation , actionForm com.cgtsi.actionform.RPActionForm@1bfbe41
4 , 09/05/2012 10:44:08:171 , RPAction , getPaymentsForReallocation , Exited
4 , 09/05/2012 10:48:31:704 , ReportsAction , mliWiseReport , Entered
4 , 09/05/2012 10:48:31:782 , ReportsAction , mliWiseReport , Exited
4 , 09/05/2012 12:01:49:988 , LoginAction , getSubMenu , Entered
4 , 09/05/2012 12:01:50:512 , LoginAction , setSubMenu , Entered
4 , 09/05/2012 12:01:50:626 , BaseAction , getUserInformation , Entered
5 , 09/05/2012 12:01:50:674 , BaseAction , getUserInformation , User id obtained from session is null
5 , 09/05/2012 12:01:50:676 , BaseAction , getUserInformation , User info is null
4 , 09/05/2012 12:01:50:679 , BaseAction , getUserInformation , Exited
4 , 10/05/2012 10:05:17:740 , LoginAction , login , Entered
4 , 10/05/2012 10:05:17:902 , Registration , updateLoginInformation , Entered
4 , 10/05/2012 10:05:18:016 , Registration , updateLoginInformation , Exited
4 , 10/05/2012 10:05:18:099 , Login , login , Entered
5 , 10/05/2012 10:05:18:125 , Login , login , User id is AVSYAM0001
4 , 10/05/2012 10:05:18:140 , AdminDAO , getParameter , Entered
5 , 10/05/2012 10:05:18:198 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 10/05/2012 10:05:18:244 , AdminDAO , getParameter , Exited
5 , 10/05/2012 10:05:18:247 , Login , login , Before getting user info
4 , 10/05/2012 10:05:18:271 , AdminDAO , getUserInfo , Entered
5 , 10/05/2012 10:05:18:303 , AdminDAO , getUserInfo , Function executed without error
5 , 10/05/2012 10:05:18:332 , AdminDAO , getUserInfo , Active user
5 , 10/05/2012 10:05:18:335 , AdminDAO , getUserInfo , not first log in
4 , 10/05/2012 10:05:18:371 , AdminDAO , getUserInfo , Exited
5 , 10/05/2012 10:05:18:373 , Login , login , After getting user info
4 , 10/05/2012 10:05:18:375 , AdminDAO , checkValidUserLogin() , Entered!
4 , 10/05/2012 10:05:18:402 , AdminDAO , checkValidUserLogin() , Exited!
5 , 10/05/2012 10:05:18:917 , Login , login , Verify password AVSYAM0001
3 , 10/05/2012 10:05:18:994 , Login , login , Invalid password 
4 , 10/05/2012 10:05:18:997 , CommonDAO , updateUnsuccessfullAttempts , Entered
5 , 10/05/2012 10:05:19:031 , CommonDAO , updateUnsuccessfullAttempts , errorCode,error are 0 null
4 , 10/05/2012 10:05:19:037 , CommonDAO , updateUnsuccessfullAttempts , Exited
4 , 10/05/2012 10:05:25:754 , LoginAction , login , Entered
4 , 10/05/2012 10:05:25:767 , Registration , updateLoginInformation , Entered
4 , 10/05/2012 10:05:25:797 , Registration , updateLoginInformation , Exited
4 , 10/05/2012 10:05:25:820 , Login , login , Entered
5 , 10/05/2012 10:05:25:829 , Login , login , User id is AVSYAM0001
4 , 10/05/2012 10:05:25:831 , AdminDAO , getParameter , Entered
5 , 10/05/2012 10:05:25:976 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 10/05/2012 10:05:26:021 , AdminDAO , getParameter , Exited
5 , 10/05/2012 10:05:26:024 , Login , login , Before getting user info
4 , 10/05/2012 10:05:26:031 , AdminDAO , getUserInfo , Entered
5 , 10/05/2012 10:05:26:044 , AdminDAO , getUserInfo , Function executed without error
5 , 10/05/2012 10:05:26:046 , AdminDAO , getUserInfo , Active user
5 , 10/05/2012 10:05:26:049 , AdminDAO , getUserInfo , not first log in
4 , 10/05/2012 10:05:26:060 , AdminDAO , getUserInfo , Exited
5 , 10/05/2012 10:05:26:070 , Login , login , After getting user info
4 , 10/05/2012 10:05:26:072 , AdminDAO , checkValidUserLogin() , Entered!
4 , 10/05/2012 10:05:26:094 , AdminDAO , checkValidUserLogin() , Exited!
5 , 10/05/2012 10:05:26:096 , Login , login , Verify password AVSYAM0001
3 , 10/05/2012 10:05:26:100 , Login , login , Invalid password 
4 , 10/05/2012 10:05:26:102 , CommonDAO , updateUnsuccessfullAttempts , Entered
5 , 10/05/2012 10:05:26:128 , CommonDAO , updateUnsuccessfullAttempts , errorCode,error are 0 null
4 , 10/05/2012 10:05:26:134 , CommonDAO , updateUnsuccessfullAttempts , Exited
4 , 10/05/2012 10:05:36:551 , LoginAction , login , Entered
4 , 10/05/2012 10:05:36:556 , Registration , updateLoginInformation , Entered
4 , 10/05/2012 10:05:36:587 , Registration , updateLoginInformation , Exited
4 , 10/05/2012 10:05:36:607 , Login , login , Entered
5 , 10/05/2012 10:05:36:608 , Login , login , User id is AVSYAM0001
4 , 10/05/2012 10:05:36:609 , AdminDAO , getParameter , Entered
5 , 10/05/2012 10:05:36:621 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 10/05/2012 10:05:36:884 , AdminDAO , getParameter , Exited
5 , 10/05/2012 10:05:36:887 , Login , login , Before getting user info
4 , 10/05/2012 10:05:36:893 , AdminDAO , getUserInfo , Entered
5 , 10/05/2012 10:05:36:918 , AdminDAO , getUserInfo , Function executed without error
5 , 10/05/2012 10:05:36:920 , AdminDAO , getUserInfo , Active user
5 , 10/05/2012 10:05:36:923 , AdminDAO , getUserInfo , not first log in
4 , 10/05/2012 10:05:36:936 , AdminDAO , getUserInfo , Exited
5 , 10/05/2012 10:05:36:940 , Login , login , After getting user info
4 , 10/05/2012 10:05:36:942 , AdminDAO , checkValidUserLogin() , Entered!
4 , 10/05/2012 10:05:36:963 , AdminDAO , checkValidUserLogin() , Exited!
5 , 10/05/2012 10:05:36:965 , Login , login , Verify password AVSYAM0001
5 , 10/05/2012 10:05:36:988 , Login , login , firstLogin,passwordReset false false
5 , 10/05/2012 10:05:36:991 , Login , login , last pwd change date, pwd expiry days2012-05-10 15
5 , 10/05/2012 10:05:36:997 , Login , login , addedDate Fri May 25 00:00:00 GMT 2012
5 , 10/05/2012 10:05:37:028 , Login , login , pwdChangeExpiry false
4 , 10/05/2012 10:05:37:030 , CommonDAO , updateLastLoginDate , Entered
2 , 10/05/2012 10:05:37:081 , CommonDAO , updateLastLoginDate , Error code and errors are: 0 null
4 , 10/05/2012 10:05:37:099 , CommonDAO , updateLastLoginDate , Exited
4 , 10/05/2012 10:05:37:102 , Login , login , Exited
4 , 10/05/2012 10:05:37:109 , AdminDAO , getPrivileges , Entered
5 , 10/05/2012 10:05:37:176 , AdminDAO , getRoles , privilege REPORTS
5 , 10/05/2012 10:05:37:179 , AdminDAO , getRoles , privilege EXPORT_PERIDIC_INFO
5 , 10/05/2012 10:05:37:182 , AdminDAO , getRoles , privilege EXPORT_CLAIM_FILE
5 , 10/05/2012 10:05:37:184 , AdminDAO , getRoles , privilege FILE_UPLOAD
5 , 10/05/2012 10:05:37:187 , AdminDAO , getRoles , privilege CLAIM_APPROVAL
5 , 10/05/2012 10:05:37:188 , AdminDAO , getRoles , privilege ADD_APPLICATION
5 , 10/05/2012 10:05:37:189 , AdminDAO , getRoles , privilege OTS_REQUEST
5 , 10/05/2012 10:05:37:190 , AdminDAO , getRoles , privilege ALLOCATE_PAYMENTS
5 , 10/05/2012 10:05:37:191 , AdminDAO , getRoles , privilege CLAIM_FIRST_INSTALLMENT
5 , 10/05/2012 10:05:37:192 , AdminDAO , getRoles , privilege UPDATE_REPAYMENT_SCHEDULE
5 , 10/05/2012 10:05:37:197 , AdminDAO , getRoles , privilege PERIODIC_INFO
5 , 10/05/2012 10:05:37:198 , AdminDAO , getRoles , privilege MODIFY_BORROWER_DETAILS
5 , 10/05/2012 10:05:37:199 , AdminDAO , getRoles , privilege CLAIM_SECOND_INSTALLMENT
5 , 10/05/2012 10:05:37:200 , AdminDAO , getRoles , privilege MODIFY_APPLICATION
5 , 10/05/2012 10:05:37:202 , AdminDAO , getRoles , privilege PRINT_PAY_IN_SLIP
5 , 10/05/2012 10:05:37:240 , AdminDAO , getRoles , privilege GENERATE_VOUCHER
5 , 10/05/2012 10:05:37:241 , AdminDAO , getRoles , privilege GENERATE_SFDAN
5 , 10/05/2012 10:05:37:242 , AdminDAO , getRoles , privilege CREATE_CGTSI_USER
