5 , 09/08/2012 06:09:55:072 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:09:55:075 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:09:55:077 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:09:55:080 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:09:57:577 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:09:57:579 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:09:57:581 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:09:57:584 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:09:57:589 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:09:57:592 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:09:57:596 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:09:57:599 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:09:58:728 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:09:58:730 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:09:58:732 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:09:58:735 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:09:58:737 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:09:58:739 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:09:58:741 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:09:58:742 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:10:00:147 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:10:00:149 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:10:00:153 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:10:00:155 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:10:00:158 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:10:00:160 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:10:00:163 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:10:00:167 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:10:01:268 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:10:01:270 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:10:01:273 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:10:01:275 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
