4 , 22/10/2012 06:59:43:177 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:179 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090095701Oustanding Amount :108155.0
4 , 22/10/2012 06:59:43:182 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090095701Approved Application Amount :115000.0
4 , 22/10/2012 06:59:43:184 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090095701Claim Applied Amount :81549.0
4 , 22/10/2012 06:59:43:186 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090095701Recovered Amount :0.0
4 , 22/10/2012 06:59:43:188 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090095701Default Amount :150500.0
4 , 22/10/2012 06:59:43:190 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:193 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:43:263 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:265 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090632201Oustanding Amount :723189.0
4 , 22/10/2012 06:59:43:267 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090632201Approved Application Amount :900000.0
4 , 22/10/2012 06:59:43:269 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090632201Claim Applied Amount :329579.0
4 , 22/10/2012 06:59:43:271 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090632201Recovered Amount :0.0
4 , 22/10/2012 06:59:43:274 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU090632201Default Amount :108155.0
4 , 22/10/2012 06:59:43:276 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:279 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:43:348 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:350 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090145101Oustanding Amount :886618.75
4 , 22/10/2012 06:59:43:352 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090145101Approved Application Amount :1100000.0
4 , 22/10/2012 06:59:43:355 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090145101Claim Applied Amount :619964.0
4 , 22/10/2012 06:59:43:357 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090145101Recovered Amount :0.0
4 , 22/10/2012 06:59:43:359 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090145101Default Amount :723189.0
4 , 22/10/2012 06:59:43:385 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:386 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:43:448 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:450 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP080031001Oustanding Amount :400000.0
4 , 22/10/2012 06:59:43:453 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP080031001Approved Application Amount :400000.0
4 , 22/10/2012 06:59:43:456 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP080031001Claim Applied Amount :340000.0
4 , 22/10/2012 06:59:43:459 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP080031001Recovered Amount :0.0
4 , 22/10/2012 06:59:43:462 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP080031001Default Amount :886618.75
4 , 22/10/2012 06:59:43:463 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:464 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:43:526 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:529 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080069501Oustanding Amount :142062.16
4 , 22/10/2012 06:59:43:532 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080069501Approved Application Amount :150000.0
4 , 22/10/2012 06:59:43:535 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080069501Claim Applied Amount :76910.0
4 , 22/10/2012 06:59:43:538 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080069501Recovered Amount :0.0
4 , 22/10/2012 06:59:43:541 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080069501Default Amount :400000.0
4 , 22/10/2012 06:59:43:544 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:546 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:43:610 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:613 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR080260701Oustanding Amount :110000.0
4 , 22/10/2012 06:59:43:616 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR080260701Approved Application Amount :110000.0
4 , 22/10/2012 06:59:43:619 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR080260701Claim Applied Amount :93500.0
4 , 22/10/2012 06:59:43:622 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR080260701Recovered Amount :0.0
4 , 22/10/2012 06:59:43:625 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12OR080260701Default Amount :142062.16
4 , 22/10/2012 06:59:43:628 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 06:59:43:631 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 06:59:43:696 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 06:59:43:699 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100074701Oustanding Amount :78916.0
4 , 22/10/2012 06:59:43:702 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100074701Approved Application Amount :117000.0
4 , 22/10/2012 06:59:43:704 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100074701Claim Applied Amount :55437.0
4 , 22/10/2012 06:59:43:707 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100074701Recovered Amount :0.0
4 , 22/10/2012 06:59:43:709 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100074701Default Amount :110000.0
