4 , 22/10/2012 07:01:10:932 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:10:999 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:002 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090476201Oustanding Amount :47795.0
4 , 22/10/2012 07:01:11:004 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090476201Approved Application Amount :50000.0
4 , 22/10/2012 07:01:11:007 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090476201Claim Applied Amount :40626.0
4 , 22/10/2012 07:01:11:009 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090476201Recovered Amount :0.0
4 , 22/10/2012 07:01:11:012 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090476201Default Amount :1150889.0
4 , 22/10/2012 07:01:11:014 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:11:016 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:11:081 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:11:084 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091109001Oustanding Amount :40000.0
4 , 22/10/2012 07:01:11:087 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091109001Approved Application Amount :40000.0
4 , 22/10/2012 07:01:11:089 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091109001Claim Applied Amount :34000.0
4 , 22/10/2012 07:01:11:092 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091109001Recovered Amount :0.0
4 , 22/10/2012 07:01:11:117 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091109001Default Amount :47795.0
