4 , 22/10/2012 07:02:45:702 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090478601Claim Applied Amount :28114.0
4 , 22/10/2012 07:02:45:704 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090478601Recovered Amount :0.0
4 , 22/10/2012 07:02:45:707 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090478601Default Amount :75000.0
4 , 22/10/2012 07:02:45:709 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:45:712 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:45:777 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:45:780 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091174301Oustanding Amount :40000.0
4 , 22/10/2012 07:02:45:782 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091174301Approved Application Amount :40000.0
4 , 22/10/2012 07:02:45:785 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091174301Claim Applied Amount :34000.0
4 , 22/10/2012 07:02:45:787 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091174301Recovered Amount :0.0
4 , 22/10/2012 07:02:45:790 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091174301Default Amount :33075.0
4 , 22/10/2012 07:02:45:792 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:45:793 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:45:871 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:45:874 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100204001Oustanding Amount :100000.0
4 , 22/10/2012 07:02:45:877 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100204001Approved Application Amount :100000.0
4 , 22/10/2012 07:02:45:879 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100204001Claim Applied Amount :75153.0
4 , 22/10/2012 07:02:45:886 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100204001Recovered Amount :0.0
4 , 22/10/2012 07:02:45:889 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100204001Default Amount :40000.0
4 , 22/10/2012 07:02:45:892 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:45:894 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:45:956 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:45:958 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Oustanding Amount :40749.0
4 , 22/10/2012 07:02:45:959 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Approved Application Amount :50000.0
4 , 22/10/2012 07:02:45:960 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Claim Applied Amount :42500.0
4 , 22/10/2012 07:02:45:961 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Recovered Amount :0.0
4 , 22/10/2012 07:02:45:962 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091925201Default Amount :100000.0
4 , 22/10/2012 07:02:45:963 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:45:964 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:029 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:032 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091010901Oustanding Amount :100000.0
4 , 22/10/2012 07:02:46:035 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091010901Approved Application Amount :100000.0
4 , 22/10/2012 07:02:46:037 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091010901Claim Applied Amount :85000.0
4 , 22/10/2012 07:02:46:040 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091010901Recovered Amount :0.0
4 , 22/10/2012 07:02:46:043 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091010901Default Amount :40749.0
4 , 22/10/2012 07:02:46:046 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:049 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:113 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:116 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091069701Oustanding Amount :60000.0
4 , 22/10/2012 07:02:46:119 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091069701Approved Application Amount :60000.0
4 , 22/10/2012 07:02:46:122 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091069701Claim Applied Amount :51000.0
4 , 22/10/2012 07:02:46:124 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091069701Recovered Amount :0.0
4 , 22/10/2012 07:02:46:127 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091069701Default Amount :100000.0
4 , 22/10/2012 07:02:46:130 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:132 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:196 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:199 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091708101Oustanding Amount :70000.0
4 , 22/10/2012 07:02:46:202 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091708101Approved Application Amount :70000.0
4 , 22/10/2012 07:02:46:205 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091708101Claim Applied Amount :59500.0
4 , 22/10/2012 07:02:46:208 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091708101Recovered Amount :0.0
4 , 22/10/2012 07:02:46:211 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091708101Default Amount :60000.0
4 , 22/10/2012 07:02:46:212 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:214 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:280 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:283 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501201Oustanding Amount :100000.0
4 , 22/10/2012 07:02:46:286 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501201Approved Application Amount :100000.0
4 , 22/10/2012 07:02:46:289 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501201Claim Applied Amount :85000.0
4 , 22/10/2012 07:02:46:292 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501201Recovered Amount :0.0
4 , 22/10/2012 07:02:46:295 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100501201Default Amount :70000.0
4 , 22/10/2012 07:02:46:298 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:301 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:364 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:367 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101527101Oustanding Amount :49213.0
4 , 22/10/2012 07:02:46:370 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101527101Approved Application Amount :50000.0
4 , 22/10/2012 07:02:46:373 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101527101Claim Applied Amount :42359.0
4 , 22/10/2012 07:02:46:376 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101527101Recovered Amount :0.0
4 , 22/10/2012 07:02:46:379 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101527101Default Amount :100000.0
4 , 22/10/2012 07:02:46:382 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:384 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:452 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:456 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926101Oustanding Amount :100000.0
4 , 22/10/2012 07:02:46:459 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926101Approved Application Amount :100000.0
4 , 22/10/2012 07:02:46:462 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926101Claim Applied Amount :85000.0
4 , 22/10/2012 07:02:46:465 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926101Recovered Amount :0.0
4 , 22/10/2012 07:02:46:468 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091926101Default Amount :49213.0
4 , 22/10/2012 07:02:46:471 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:478 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:547 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:550 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101613101Oustanding Amount :30000.0
4 , 22/10/2012 07:02:46:553 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101613101Approved Application Amount :30000.0
4 , 22/10/2012 07:02:46:556 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101613101Claim Applied Amount :25500.0
4 , 22/10/2012 07:02:46:559 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101613101Recovered Amount :0.0
4 , 22/10/2012 07:02:46:566 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101613101Default Amount :100000.0
4 , 22/10/2012 07:02:46:569 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:02:46:572 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:02:46:639 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:02:46:642 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100565701Oustanding Amount :469000.0
4 , 22/10/2012 07:02:46:645 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100565701Approved Application Amount :469000.0
