4 , 22/10/2012 07:03:43:010 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:011 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:012 , ClaimAction , displayClaimApproval() , memId :000900280000
4 , 22/10/2012 07:03:43:013 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12OR100686401
4 , 22/10/2012 07:03:43:014 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:014 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:015 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:016 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:017 , ClaimAction , displayClaimApproval() , memId :000100090000
4 , 22/10/2012 07:03:43:063 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090264801
4 , 22/10/2012 07:03:43:065 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:068 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:070 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:077 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:081 , ClaimAction , displayClaimApproval() , memId :000500500000
4 , 22/10/2012 07:03:43:083 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12SI090002401
4 , 22/10/2012 07:03:43:086 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:088 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:43:090 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:43:091 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:43:092 , ClaimAction , displayClaimApproval() , memId :000100170000
4 , 22/10/2012 07:03:43:093 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12GU090174301
4 , 22/10/2012 07:03:43:094 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:43:095 , ClaimAction , displayClaimApproval() , forwardedToUser :null
