4 , 23/10/2012 04:44:17:286 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12DE100116101Default Amount :40000.0
4 , 23/10/2012 04:44:17:286 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100358601Recovered Amount :0.0
4 , 23/10/2012 04:44:17:286 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:286 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100358601Default Amount :75000.0
4 , 23/10/2012 04:44:17:286 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:286 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:286 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:349 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:364 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110004701Oustanding Amount :100000.0
4 , 23/10/2012 04:44:17:364 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:364 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110004701Approved Application Amount :100000.0
4 , 23/10/2012 04:44:17:364 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP080069101Oustanding Amount :620540.0
4 , 23/10/2012 04:44:17:380 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110004701Claim Applied Amount :75000.0
4 , 23/10/2012 04:44:17:380 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP080069101Approved Application Amount :1000000.0
4 , 23/10/2012 04:44:17:380 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110004701Recovered Amount :0.0
4 , 23/10/2012 04:44:17:380 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP080069101Claim Applied Amount :465405.0
4 , 23/10/2012 04:44:17:396 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP110004701Default Amount :274751.0
4 , 23/10/2012 04:44:17:396 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP080069101Recovered Amount :0.0
4 , 23/10/2012 04:44:17:396 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:396 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12AP080069101Default Amount :200743.0
4 , 23/10/2012 04:44:17:396 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:396 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:396 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:458 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:458 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090209401Oustanding Amount :44770.0
4 , 23/10/2012 04:44:17:474 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090209401Approved Application Amount :50000.0
4 , 23/10/2012 04:44:17:474 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:474 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090209401Claim Applied Amount :38055.0
4 , 23/10/2012 04:44:17:474 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101316601Oustanding Amount :140000.0
4 , 23/10/2012 04:44:17:474 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090209401Recovered Amount :0.0
4 , 23/10/2012 04:44:17:474 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101316601Approved Application Amount :266000.0
4 , 23/10/2012 04:44:17:489 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090209401Default Amount :100000.0
4 , 23/10/2012 04:44:17:489 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101316601Claim Applied Amount :104586.0
4 , 23/10/2012 04:44:17:489 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:489 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101316601Recovered Amount :0.0
4 , 23/10/2012 04:44:17:489 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:489 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101316601Default Amount :620540.0
4 , 23/10/2012 04:44:17:489 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:505 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:567 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:567 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100169601Oustanding Amount :25000.0
4 , 23/10/2012 04:44:17:583 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:583 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100169601Approved Application Amount :25000.0
4 , 23/10/2012 04:44:17:583 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100193201Oustanding Amount :14465.0
4 , 23/10/2012 04:44:17:583 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100169601Claim Applied Amount :21250.0
4 , 23/10/2012 04:44:17:583 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100193201Approved Application Amount :15000.0
4 , 23/10/2012 04:44:17:598 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100169601Recovered Amount :0.0
4 , 23/10/2012 04:44:17:598 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100193201Claim Applied Amount :12000.0
4 , 23/10/2012 04:44:17:598 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100169601Default Amount :44770.0
4 , 23/10/2012 04:44:17:598 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100193201Recovered Amount :0.0
4 , 23/10/2012 04:44:17:598 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:598 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UT100193201Default Amount :140000.0
4 , 23/10/2012 04:44:17:598 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:598 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:598 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:661 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:676 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955701Oustanding Amount :50000.0
4 , 23/10/2012 04:44:17:676 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955701Approved Application Amount :50000.0
4 , 23/10/2012 04:44:17:676 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:676 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955701Claim Applied Amount :42500.0
4 , 23/10/2012 04:44:17:692 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526601Oustanding Amount :12000.0
4 , 23/10/2012 04:44:17:692 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955701Recovered Amount :0.0
4 , 23/10/2012 04:44:17:692 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526601Approved Application Amount :12000.0
4 , 23/10/2012 04:44:17:692 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955701Default Amount :25000.0
4 , 23/10/2012 04:44:17:692 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526601Claim Applied Amount :10200.0
4 , 23/10/2012 04:44:17:692 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:692 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526601Recovered Amount :0.0
4 , 23/10/2012 04:44:17:692 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:692 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526601Default Amount :14465.0
4 , 23/10/2012 04:44:17:708 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:44:17:723 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:44:17:770 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:44:17:770 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100481401Oustanding Amount :600000.0
4 , 23/10/2012 04:44:17:770 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100481401Approved Application Amount :600000.0
4 , 23/10/2012 04:44:17:770 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA100481401Claim Applied Amount :385004.0
