4 , 23/10/2012 04:45:07:400 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101290701Default Amount :3542.0
4 , 23/10/2012 04:45:07:400 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:400 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:400 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:478 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:478 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091615201Oustanding Amount :30000.0
4 , 23/10/2012 04:45:07:478 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:478 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091615201Approved Application Amount :30000.0
4 , 23/10/2012 04:45:07:478 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041001Oustanding Amount :7004.0
4 , 23/10/2012 04:45:07:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091615201Claim Applied Amount :25500.0
4 , 23/10/2012 04:45:07:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090680201Oustanding Amount :101159.0
4 , 23/10/2012 04:45:07:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041001Approved Application Amount :25000.0
4 , 23/10/2012 04:45:07:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091615201Recovered Amount :0.0
4 , 23/10/2012 04:45:07:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090680201Approved Application Amount :110000.0
4 , 23/10/2012 04:45:07:509 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041001Claim Applied Amount :8455.0
4 , 23/10/2012 04:45:07:509 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091615201Default Amount :47255.0
4 , 23/10/2012 04:45:07:509 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090680201Claim Applied Amount :98711.0
4 , 23/10/2012 04:45:07:509 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041001Recovered Amount :0.0
4 , 23/10/2012 04:45:07:509 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:509 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090680201Recovered Amount :0.0
4 , 23/10/2012 04:45:07:525 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12CH100041001Default Amount :384982.0
4 , 23/10/2012 04:45:07:525 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:525 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB090680201Default Amount :484502.0
4 , 23/10/2012 04:45:07:525 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:525 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:07:525 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:525 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:07:587 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:587 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091878201Oustanding Amount :83473.0
4 , 23/10/2012 04:45:07:587 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091878201Approved Application Amount :140000.0
4 , 23/10/2012 04:45:07:603 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091878201Claim Applied Amount :70953.0
4 , 23/10/2012 04:45:07:603 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:603 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:07:603 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091878201Recovered Amount :0.0
4 , 23/10/2012 04:45:07:603 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP100522201Oustanding Amount :92129.0
4 , 23/10/2012 04:45:07:618 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090918301Oustanding Amount :427500.0
