4 , 23/10/2012 04:45:41:096 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090628601Claim Applied Amount :10070.0
4 , 23/10/2012 04:45:41:096 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101100101Claim Applied Amount :3074.0
4 , 23/10/2012 04:45:41:096 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:096 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090628601Recovered Amount :0.0
4 , 23/10/2012 04:45:41:096 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101100101Recovered Amount :0.0
4 , 23/10/2012 04:45:41:096 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090628601Default Amount :9479.0
4 , 23/10/2012 04:45:41:096 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101100101Default Amount :90000.0
4 , 23/10/2012 04:45:41:096 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:096 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:45:41:096 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:112 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:45:41:159 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:45:41:159 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101305301Oustanding Amount :81277.0
4 , 23/10/2012 04:45:41:159 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101305301Approved Application Amount :90000.0
4 , 23/10/2012 04:45:41:159 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101305301Claim Applied Amount :76500.0
4 , 23/10/2012 04:45:41:174 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101305301Recovered Amount :0.0
4 , 23/10/2012 04:45:41:174 , CPDAO , isRecoveryDetailsAvailable() , Exited!
