4 , 23/10/2012 04:46:14:185 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:185 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:185 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:185 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160101Oustanding Amount :105730.0
4 , 23/10/2012 04:46:14:185 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160101Approved Application Amount :199000.0
4 , 23/10/2012 04:46:14:185 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160101Claim Applied Amount :98164.0
4 , 23/10/2012 04:46:14:185 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160101Recovered Amount :0.0
4 , 23/10/2012 04:46:14:185 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160101Default Amount :206596.0
4 , 23/10/2012 04:46:14:185 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:14:185 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:14:200 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:14:200 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101333701Oustanding Amount :160000.0
4 , 23/10/2012 04:46:14:200 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101333701Approved Application Amount :160000.0
4 , 23/10/2012 04:46:14:200 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101333701Claim Applied Amount :120000.0
4 , 23/10/2012 04:46:14:200 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101333701Recovered Amount :0.0
4 , 23/10/2012 04:46:14:200 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA101333701Default Amount :149342.0
4 , 23/10/2012 04:46:14:200 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
