4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HA100156201Recovered Amount :0.0
4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526301Oustanding Amount :12000.0
4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HA100156201Default Amount :828000.0
4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526301Approved Application Amount :12000.0
4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526301Claim Applied Amount :10200.0
4 , 23/10/2012 04:46:46:852 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526301Recovered Amount :0.0
4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100526301Default Amount :50000.0
4 , 23/10/2012 04:46:46:852 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:46:852 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:46:867 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946301Oustanding Amount :50000.0
4 , 23/10/2012 04:46:46:867 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:46:867 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946301Approved Application Amount :50000.0
4 , 23/10/2012 04:46:46:867 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946301Claim Applied Amount :42500.0
4 , 23/10/2012 04:46:46:867 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946301Recovered Amount :0.0
4 , 23/10/2012 04:46:46:867 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091946301Default Amount :39207.0
4 , 23/10/2012 04:46:46:867 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:46:867 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:46:914 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:46:930 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883701Oustanding Amount :5761.0
4 , 23/10/2012 04:46:46:930 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883701Approved Application Amount :6000.0
4 , 23/10/2012 04:46:46:930 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883701Claim Applied Amount :5311.0
4 , 23/10/2012 04:46:46:930 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883701Recovered Amount :0.0
4 , 23/10/2012 04:46:46:930 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:46:930 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101883701Default Amount :108382.0
4 , 23/10/2012 04:46:46:945 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090274401Oustanding Amount :27500.0
4 , 23/10/2012 04:46:46:945 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:46:945 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:46:945 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090274401Approved Application Amount :27500.0
4 , 23/10/2012 04:46:46:945 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:46:945 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091231401Oustanding Amount :25000.0
4 , 23/10/2012 04:46:46:945 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090274401Claim Applied Amount :20625.0
4 , 23/10/2012 04:46:46:945 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091231401Approved Application Amount :25000.0
4 , 23/10/2012 04:46:46:961 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090274401Recovered Amount :0.0
4 , 23/10/2012 04:46:46:961 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091231401Claim Applied Amount :21250.0
4 , 23/10/2012 04:46:46:961 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090274401Default Amount :12000.0
4 , 23/10/2012 04:46:46:961 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091231401Recovered Amount :0.0
4 , 23/10/2012 04:46:46:961 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:46:961 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091231401Default Amount :50000.0
4 , 23/10/2012 04:46:46:961 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:46:961 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:46:961 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:008 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:008 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102972101Oustanding Amount :950000.0
4 , 23/10/2012 04:46:47:008 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102972101Approved Application Amount :950000.0
4 , 23/10/2012 04:46:47:008 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102972101Claim Applied Amount :950000.0
4 , 23/10/2012 04:46:47:023 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102972101Recovered Amount :0.0
4 , 23/10/2012 04:46:47:023 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102972101Default Amount :5761.0
4 , 23/10/2012 04:46:47:023 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:46:47:023 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:46:47:039 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:039 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100448001Oustanding Amount :375000.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090734701Oustanding Amount :25000.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100448001Approved Application Amount :375000.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090734701Approved Application Amount :25000.0
4 , 23/10/2012 04:46:47:039 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100448001Claim Applied Amount :281250.0
