4 , 23/10/2012 04:47:54:011 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101522401Recovered Amount :0.0
4 , 23/10/2012 04:47:54:011 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:011 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101522401Default Amount :163265.0
4 , 23/10/2012 04:47:54:011 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:011 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:011 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:058 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:058 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091528801Oustanding Amount :70000.0
4 , 23/10/2012 04:47:54:058 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091528801Approved Application Amount :70000.0
4 , 23/10/2012 04:47:54:058 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091528801Claim Applied Amount :58559.0
4 , 23/10/2012 04:47:54:058 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091528801Recovered Amount :0.0
4 , 23/10/2012 04:47:54:073 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091528801Default Amount :41863.0
4 , 23/10/2012 04:47:54:073 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:073 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:073 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:089 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090748701Oustanding Amount :50000.0
4 , 23/10/2012 04:47:54:089 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090748701Approved Application Amount :50000.0
4 , 23/10/2012 04:47:54:089 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090748701Claim Applied Amount :42500.0
4 , 23/10/2012 04:47:54:089 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090748701Recovered Amount :0.0
4 , 23/10/2012 04:47:54:089 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090748701Default Amount :80000.0
4 , 23/10/2012 04:47:54:089 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:54:089 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:54:089 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:54:089 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110153001Oustanding Amount :91917.0
4 , 23/10/2012 04:47:54:089 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110153001Approved Application Amount :97420.0
