4 , 23/10/2012 04:49:04:150 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:04:150 , ClaimAction , displayClaimApproval() , memId :001500200000
4 , 23/10/2012 04:49:04:150 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MP100388501
4 , 23/10/2012 04:49:04:150 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:04:150 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:04:150 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:04:150 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:04:150 , ClaimAction , displayClaimApproval() , memId :001500030000
4 , 23/10/2012 04:49:04:150 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KA100003201
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , memId :001500060000
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12OR100657701
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:04:165 , ClaimAction , displayClaimApproval() , memId :000100480000
4 , 23/10/2012 04:49:04:181 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MP100267201
4 , 23/10/2012 04:49:04:181 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:04:181 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:04:181 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:04:181 , ClaimAction , displayClaimApproval() , ##################
