4 , 23/10/2012 04:49:24:695 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101112601
4 , 23/10/2012 04:49:24:695 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:695 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:711 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:49:24:711 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:711 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100406401Oustanding Amount :284227.0
4 , 23/10/2012 04:49:24:711 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:711 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100406401Approved Application Amount :300000.0
4 , 23/10/2012 04:49:24:711 , ClaimAction , displayClaimApproval() , memId :000100710000
4 , 23/10/2012 04:49:24:711 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100406401Claim Applied Amount :214063.0
4 , 23/10/2012 04:49:24:711 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE101006801
4 , 23/10/2012 04:49:24:726 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100406401Recovered Amount :0.0
4 , 23/10/2012 04:49:24:726 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:49:24:726 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE100406401Default Amount :1900000.0
4 , 23/10/2012 04:49:24:726 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:49:24:726 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:49:24:726 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:49:24:726 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:49:24:726 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:49:24:726 , ClaimAction , displayClaimApproval() , memId :000100090000
4 , 23/10/2012 04:49:24:726 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102035501
4 , 23/10/2012 04:49:24:742 , ClaimAction , displayClaimApproval() , clmStatus :NE
