5 , 25/10/2012 05:30:04:907 , AdminDAO , getRoles , privilege ASSIGN_COLLECTING_BANK
5 , 25/10/2012 05:30:04:908 , AdminDAO , getRoles , privilege MODIFY_COLLECTING_BANK
5 , 25/10/2012 05:30:04:912 , AdminDAO , getRoles , privilege DEFINE_ORGANIZATION_STRUCTURE
5 , 25/10/2012 05:30:04:914 , AdminDAO , getRoles , privilege DEACTIVATE_MEMBER
5 , 25/10/2012 05:30:04:915 , AdminDAO , getRoles , privilege ACTIVATE_MEMBER
5 , 25/10/2012 05:30:04:917 , AdminDAO , getRoles , privilege ADD_MODIFY_ROLES
5 , 25/10/2012 05:30:04:918 , AdminDAO , getRoles , privilege CREATE_CGTSI_USER
5 , 25/10/2012 05:30:04:919 , AdminDAO , getRoles , privilege CREATE_MLI_USER
5 , 25/10/2012 05:30:04:924 , AdminDAO , getRoles , privilege MODIFY_USER_DETAILS
5 , 25/10/2012 05:30:04:925 , AdminDAO , getRoles , privilege DEACTIVATE_USER
5 , 25/10/2012 05:30:04:926 , AdminDAO , getRoles , privilege REACTIVATE_USER
5 , 25/10/2012 05:30:04:928 , AdminDAO , getRoles , privilege ASSIGN_MODIFY_ROLES_AND_PRIVILEGES
5 , 25/10/2012 05:30:04:929 , AdminDAO , getRoles , privilege RESET_PASSWORD
5 , 25/10/2012 05:30:04:930 , AdminDAO , getRoles , privilege ENTER_AUDIT_DETAILS
5 , 25/10/2012 05:30:04:931 , AdminDAO , getRoles , privilege REVIEW_AUDIT_DETAILS
5 , 25/10/2012 05:30:04:932 , AdminDAO , getRoles , privilege BROADCAST_MESSAGE
5 , 25/10/2012 05:30:04:933 , AdminDAO , getRoles , privilege UPDATE_MASTER_TABLE
5 , 25/10/2012 05:30:04:937 , AdminDAO , getRoles , privilege REPORTS
5 , 25/10/2012 05:30:04:942 , AdminDAO , getRoles , privilege SECURITIZATION
5 , 25/10/2012 05:30:04:944 , AdminDAO , getRoles , privilege REGISTER_MCGF
5 , 25/10/2012 05:30:04:945 , AdminDAO , getRoles , privilege ADD_PARTICIPATING_BANKS
5 , 25/10/2012 05:30:04:946 , AdminDAO , getRoles , privilege ADD_SSI_MEMBERS
5 , 25/10/2012 05:30:04:947 , AdminDAO , getRoles , privilege ADD_DONOR_DETAILS
5 , 25/10/2012 05:30:04:948 , AdminDAO , getRoles , privilege SET_PARTICIPATING_BANK_LIMIT
5 , 25/10/2012 05:30:04:950 , AdminDAO , getRoles , privilege MAKE_REQUEST
5 , 25/10/2012 05:30:04:951 , AdminDAO , getRoles , privilege TDS_DETAILS
5 , 25/10/2012 05:30:04:973 , AdminDAO , getRoles , privilege FORECASTING_DETAILS
5 , 25/10/2012 05:30:04:975 , AdminDAO , getRoles , privilege PLAN_INVESTMENT
5 , 25/10/2012 05:30:04:979 , AdminDAO , getRoles , privilege PROJECT_EXPECTED_CLAIMS
5 , 25/10/2012 05:30:04:981 , AdminDAO , getRoles , privilege APP_STATUS_WISE_REPORT
